file_path,image_name,true_type,corner_L,corner_R,YES,MAYBE,NO,verdict,correct,outcome,fp_reason
normal_glassess/i_ZlGEAlJ3DgQmqGZdV1yANa1ZdpoLKfXhX8g5xwMdme5zTDAToD44712K0yIqSirq5EUzcPR3LW0U4H2UXy7jXpAN-r7O3BATC7TI5U_x4lm5FDz7m4muegvYotMzmdswmQN-KYmpVBCcGTT3vNO03zZDT02Co6jC8MOYO8U7nWVSG9_zUHVWme95LnFYlE.jpeg,i_ZlGEAlJ3DgQmqGZdV1yANa1ZdpoLKfXhX8g5xwMdme5zTDAToD44712K0yIqSirq5EUzcPR3LW0U4H2UXy7jXpAN-r7O3BATC7TI5U_x4lm5FDz7m4muegvYotMzmdswmQN-KYmpVBCcGTT3vNO03zZDT02Co6jC8MOYO8U7nWVSG9_zUHVWme95LnFYlE.jpeg,normal,0.315,0.992,,X,,MAYBE,0,FP,one endpiece/lens-glint on R side reads as module (thick frame or reflection)
normal_glassess/img_1774414813373_62.jpg,img_1774414813373_62.jpg,normal,0.376,0.954,,X,,MAYBE,0,FP,one endpiece/lens-glint on R side reads as module (thick frame or reflection)
normal_glassess/images (31).jpeg,images (31).jpeg,normal,0.354,0.924,,X,,MAYBE,0,FP,one endpiece/lens-glint on R side reads as module (thick frame or reflection)
normal_glassess/images (45).jpeg,images (45).jpeg,normal,0.870,0.027,,X,,MAYBE,0,FP,one endpiece/lens-glint on L side reads as module (thick frame or reflection)
normal_glassess/images - 2026-07-07T113225.324.jpeg,images - 2026-07-07T113225.324.jpeg,normal,0.002,0.809,,X,,MAYBE,0,FP,one endpiece/lens-glint on R side reads as module (thick frame or reflection)
normal_glassess/images (92).jpeg,images (92).jpeg,normal,0.799,0.042,,X,,MAYBE,0,FP,one endpiece/lens-glint on L side reads as module (thick frame or reflection)
normal_glassess/images (29).jpeg,images (29).jpeg,normal,0.004,0.785,,,X,NO,1,TN,
normal_glassess/images (34).jpeg,images (34).jpeg,normal,0.017,0.732,,,X,NO,1,TN,
normal_glassess/img_1774414807403_1.jpg,img_1774414807403_1.jpg,normal,0.013,0.722,,,X,NO,1,TN,
normal_glassess/images (42).jpeg,images (42).jpeg,normal,0.320,0.655,,,X,NO,1,TN,
normal_glassess/pexels-cottonbro-5990142.jpg,pexels-cottonbro-5990142.jpg,normal,0.618,0.022,,,X,NO,1,TN,
normal_glassess/img_1774414805965_4.jpg,img_1774414805965_4.jpg,normal,0.146,0.542,,,X,NO,1,TN,
normal_glassess/pexels-murillohm-29721671.jpg,pexels-murillohm-29721671.jpg,normal,0.511,0.002,,,X,NO,1,TN,
normal_glassess/images - 2026-07-07T112903.480.jpeg,images - 2026-07-07T112903.480.jpeg,normal,0.481,0.048,,,X,NO,1,TN,
normal_glassess/images (40).jpeg,images (40).jpeg,normal,0.016,0.479,,,X,NO,1,TN,
normal_glassess/images (91).jpeg,images (91).jpeg,normal,0.413,0.007,,,X,NO,1,TN,
normal_glassess/img_1774414810332_29.jpg,img_1774414810332_29.jpg,normal,0.340,0.011,,,X,NO,1,TN,
normal_glassess/images (43).jpeg,images (43).jpeg,normal,0.016,0.340,,,X,NO,1,TN,
normal_glassess/img_1774414807271_12.jpg,img_1774414807271_12.jpg,normal,0.090,0.339,,,X,NO,1,TN,
normal_glassess/pexels-cottonbro-6616678.jpg,pexels-cottonbro-6616678.jpg,normal,0.060,0.322,,,X,NO,1,TN,
normal_glassess/AcBroxC7-g__VzIGaUjZKDqmc2y5AfV_ueTJmpGxo5eN6zP7010PojZLPuxA8AnxQcIdLVX6AfMxUKfHakNYVh3jN1Atmmq8PlyD3T02g1PCLSXSO1rLGPTG92u60kGbWZOvEu9wYmZaENFmhaHSsTQV3YaeD0qe39ihT835Sv8RaLenBS34Kc2qapdrvOAJ.jpeg,AcBroxC7-g__VzIGaUjZKDqmc2y5AfV_ueTJmpGxo5eN6zP7010PojZLPuxA8AnxQcIdLVX6AfMxUKfHakNYVh3jN1Atmmq8PlyD3T02g1PCLSXSO1rLGPTG92u60kGbWZOvEu9wYmZaENFmhaHSsTQV3YaeD0qe39ihT835Sv8RaLenBS34Kc2qapdrvOAJ.jpeg,normal,0.000,0.321,,,X,NO,1,TN,
normal_glassess/images (28).jpeg,images (28).jpeg,normal,0.291,0.053,,,X,NO,1,TN,
normal_glassess/img_1774414808140_27.jpg,img_1774414808140_27.jpg,normal,0.286,0.010,,,X,NO,1,TN,
normal_glassess/img_1774414812443_51.jpg,img_1774414812443_51.jpg,normal,0.220,0.001,,,X,NO,1,TN,
normal_glassess/images (37).jpeg,images (37).jpeg,normal,0.019,0.199,,,X,NO,1,TN,
normal_glassess/img_1774414805479_0.jpg,img_1774414805479_0.jpg,normal,0.003,0.183,,,X,NO,1,TN,
normal_glassess/img_1774414806515_5.jpg,img_1774414806515_5.jpg,normal,0.001,0.159,,,X,NO,1,TN,
normal_glassess/img_1774414813140_59.jpg,img_1774414813140_59.jpg,normal,0.141,0.005,,,X,NO,1,TN,
normal_glassess/images - 2026-07-07T113101.822.jpeg,images - 2026-07-07T113101.822.jpeg,normal,0.107,0.075,,,X,NO,1,TN,
normal_glassess/images - 2026-07-07T112757.330.jpeg,images - 2026-07-07T112757.330.jpeg,normal,0.101,0.010,,,X,NO,1,TN,
normal_glassess/images (99).jpeg,images (99).jpeg,normal,0.002,0.086,,,X,NO,1,TN,
normal_glassess/img_1774414806356_9.jpg,img_1774414806356_9.jpg,normal,0.077,0.061,,,X,NO,1,TN,
normal_glassess/images (38).jpeg,images (38).jpeg,normal,0.002,0.076,,,X,NO,1,TN,
normal_glassess/istockphoto-1407084419-612x612.jpg,istockphoto-1407084419-612x612.jpg,normal,0.067,0.020,,,X,NO,1,TN,
normal_glassess/3zFMgGkGmpJpwvpwJ6k83RfvrRZHnLJssi701ZhCL9vkxwg5cc7i0M10HlMJ_v651PdC_tpNF005dcLKpwZP6siwnkUaMjuJlELbYz0KNYDk4ZnilAqFl3eXIstzU7GpMituLIpDZq_-7g_r-WpA-jlSziT5VxDIpQrS0MerA1O5mE4sEf_rqhjbZ7_DeSNi.jpeg,3zFMgGkGmpJpwvpwJ6k83RfvrRZHnLJssi701ZhCL9vkxwg5cc7i0M10HlMJ_v651PdC_tpNF005dcLKpwZP6siwnkUaMjuJlELbYz0KNYDk4ZnilAqFl3eXIstzU7GpMituLIpDZq_-7g_r-WpA-jlSziT5VxDIpQrS0MerA1O5mE4sEf_rqhjbZ7_DeSNi.jpeg,normal,0.018,0.052,,,X,NO,1,TN,
normal_glassess/pexels-taher-mohammed-32567775-7021029.jpg,pexels-taher-mohammed-32567775-7021029.jpg,normal,0.041,0.019,,,X,NO,1,TN,
normal_glassess/images (44).jpeg,images (44).jpeg,normal,0.025,0.031,,,X,NO,1,TN,
normal_glassess/img_1774414810035_39.jpg,img_1774414810035_39.jpg,normal,0.028,0.002,,,X,NO,1,TN,
normal_glassess/images - 2026-07-07T113026.869.jpeg,images - 2026-07-07T113026.869.jpeg,normal,0.002,0.024,,,X,NO,1,TN,
normal_glassess/images (93).jpeg,images (93).jpeg,normal,0.019,0.005,,,X,NO,1,TN,
normal_glassess/03-straight (6).png,03-straight (6).png,normal,0.001,0.018,,,X,NO,1,TN,
normal_glassess/images (46).jpeg,images (46).jpeg,normal,0.009,0.017,,,X,NO,1,TN,
normal_glassess/images (96).jpeg,images (96).jpeg,normal,0.014,0.003,,,X,NO,1,TN,
normal_glassess/images - 2026-07-07T104933.567.jpeg,images - 2026-07-07T104933.567.jpeg,normal,0.003,0.014,,,X,NO,1,TN,
normal_glassess/img_1774414805790_2.jpg,img_1774414805790_2.jpg,normal,0.013,0.012,,,X,NO,1,TN,
normal_glassess/img_1774414808634_33.jpg,img_1774414808634_33.jpg,normal,0.012,0.002,,,X,NO,1,TN,
normal_glassess/img_1774414806787_13.jpg,img_1774414806787_13.jpg,normal,0.000,0.007,,,X,NO,1,TN,
normal_glassess/images - 2026-07-07T112911.280.jpeg,images - 2026-07-07T112911.280.jpeg,normal,0.005,0.000,,,X,NO,1,TN,
normal_glassess/images - 2026-07-07T113247.967.jpeg,images - 2026-07-07T113247.967.jpeg,normal,0.001,0.005,,,X,NO,1,TN,
normal_glassess/images (100).jpeg,images (100).jpeg,normal,0.003,0.003,,,X,NO,1,TN,
normal_glassess/images - 2026-07-07T112820.798.jpeg,images - 2026-07-07T112820.798.jpeg,normal,0.002,0.002,,,X,NO,1,TN,
normal_glassess/03-straight (5).png,03-straight (5).png,normal,0.001,0.002,,,X,NO,1,TN,
normal_glassess/1sacmu8mTllO20WEoCaF6btccNbIslAwOMs305k4U8SV4ITqe9pjfT9slTrQWtU6MaSXauFu03yw7w5SxDJqAANZZJesITyN4pXnuoFRJ_OR-ZmL0FKA85VfescKE8HFBktFm-_L9YeYcOPQ5mk0uz966w1PwXw4ydXJCI4lIpvT40m-tsbw_uH8BgyNTYPx.jpeg,1sacmu8mTllO20WEoCaF6btccNbIslAwOMs305k4U8SV4ITqe9pjfT9slTrQWtU6MaSXauFu03yw7w5SxDJqAANZZJesITyN4pXnuoFRJ_OR-ZmL0FKA85VfescKE8HFBktFm-_L9YeYcOPQ5mk0uz966w1PwXw4ydXJCI4lIpvT40m-tsbw_uH8BgyNTYPx.jpeg,normal,0.001,0.001,,,X,NO,1,TN,
normal_glassess/images (94).jpeg,images (94).jpeg,normal,0.000,0.001,,,X,NO,1,TN,
normal_glassess/img_1774414806264_8.jpg,img_1774414806264_8.jpg,normal,0.001,0.001,,,X,NO,1,TN,
normal_glassess/images - 2026-07-07T112854.274.jpeg,images - 2026-07-07T112854.274.jpeg,normal,0.001,0.000,,,X,NO,1,TN,
normal_glassess/images - 2026-07-07T104920.688.jpeg,images - 2026-07-07T104920.688.jpeg,normal,0.000,0.000,,,X,NO,1,TN,
ray_ban_face/images (10).jpeg,images (10).jpeg,rayban,1.000,0.868,,X,,MAYBE,1,TP,
ray_ban_face/images (68).jpeg,images (68).jpeg,rayban,0.999,1.000,X,,,YES,1,TP,
ray_ban_face/img_1774335809518_19.jpg,img_1774335809518_19.jpg,rayban,1.000,0.903,,X,,MAYBE,1,TP,
ray_ban_face/images (6).jpeg,images (6).jpeg,rayban,1.000,0.682,,X,,MAYBE,1,TP,
ray_ban_face/images (67).jpeg,images (67).jpeg,rayban,0.125,1.000,,X,,MAYBE,1,TP,
ray_ban_face/images (75).jpeg,images (75).jpeg,rayban,0.997,1.000,X,,,YES,1,TP,
ray_ban_face/img_1774326591304_177.jpg,img_1774326591304_177.jpg,rayban,1.000,0.889,,X,,MAYBE,1,TP,
ray_ban_face/images (16).jpeg,images (16).jpeg,rayban,1.000,0.971,X,,,YES,1,TP,
ray_ban_face/images (61).jpeg,images (61).jpeg,rayban,0.999,0.993,X,,,YES,1,TP,
ray_ban_face/images (76).jpeg,images (76).jpeg,rayban,0.007,0.998,,X,,MAYBE,1,TP,
ray_ban_face/images (26).jpeg,images (26).jpeg,rayban,0.998,0.995,X,,,YES,1,TP,
ray_ban_face/images (11).jpeg,images (11).jpeg,rayban,0.996,0.998,X,,,YES,1,TP,
ray_ban_face/images (17).jpeg,images (17).jpeg,rayban,0.881,0.997,,X,,MAYBE,1,TP,
ray_ban_face/images (13).jpeg,images (13).jpeg,rayban,0.988,0.997,X,,,YES,1,TP,
ray_ban_face/img_1774326656277_311.jpg,img_1774326656277_311.jpg,rayban,0.996,0.876,,X,,MAYBE,1,TP,
ray_ban_face/images (66).jpeg,images (66).jpeg,rayban,0.995,0.706,,X,,MAYBE,1,TP,
ray_ban_face/img_1774326640152_256.jpg,img_1774326640152_256.jpg,rayban,0.994,0.983,X,,,YES,1,TP,
ray_ban_face/images (59).jpeg,images (59).jpeg,rayban,0.699,0.993,,X,,MAYBE,1,TP,
ray_ban_face/images (55).jpeg,images (55).jpeg,rayban,0.993,0.228,,X,,MAYBE,1,TP,
ray_ban_face/images (82).jpeg,images (82).jpeg,rayban,0.993,0.893,,X,,MAYBE,1,TP,
ray_ban_face/images (64).jpeg,images (64).jpeg,rayban,0.671,0.992,,X,,MAYBE,1,TP,
ray_ban_face/images (20).jpeg,images (20).jpeg,rayban,0.991,0.990,X,,,YES,1,TP,
ray_ban_face/images (51).jpeg,images (51).jpeg,rayban,0.629,0.988,,X,,MAYBE,1,TP,
ray_ban_face/img_1774335834715_42.jpg,img_1774335834715_42.jpg,rayban,0.562,0.988,,X,,MAYBE,1,TP,
ray_ban_face/images (49).jpeg,images (49).jpeg,rayban,0.986,0.973,X,,,YES,1,TP,
ray_ban_face/images (58).jpeg,images (58).jpeg,rayban,0.975,0.985,X,,,YES,1,TP,
ray_ban_face/images (78).jpeg,images (78).jpeg,rayban,0.010,0.976,,X,,MAYBE,1,TP,
ray_ban_face/images (90).jpeg,images (90).jpeg,rayban,0.976,0.012,,X,,MAYBE,1,TP,
ray_ban_face/images (60).jpeg,images (60).jpeg,rayban,0.654,0.972,,X,,MAYBE,1,TP,
ray_ban_face/images (70).jpeg,images (70).jpeg,rayban,0.557,0.969,,X,,MAYBE,1,TP,
ray_ban_face/images (62).jpeg,images (62).jpeg,rayban,0.960,0.655,,X,,MAYBE,1,TP,
ray_ban_face/images (50).jpeg,images (50).jpeg,rayban,0.950,0.587,,X,,MAYBE,1,TP,
ray_ban_face/images (74).jpeg,images (74).jpeg,rayban,0.009,0.948,,X,,MAYBE,1,TP,
ray_ban_face/images (48).jpeg,images (48).jpeg,rayban,0.948,0.207,,X,,MAYBE,1,TP,
ray_ban_face/img_1774335838120_52.jpg,img_1774335838120_52.jpg,rayban,0.944,0.334,,X,,MAYBE,1,TP,
ray_ban_face/images (52).jpeg,images (52).jpeg,rayban,0.099,0.934,,X,,MAYBE,1,TP,
actual_rayban_cases/03-straight (4).png,03-straight (4).png,rayban,0.929,0.515,,X,,MAYBE,1,TP,
ray_ban_face/images (53).jpeg,images (53).jpeg,rayban,0.909,0.088,,X,,MAYBE,1,TP,
ray_ban_face/img_1774326665108_350.jpg,img_1774326665108_350.jpg,rayban,0.908,0.755,,X,,MAYBE,1,TP,
ray_ban_face/img_1774326545327_69.jpg,img_1774326545327_69.jpg,rayban,0.893,0.140,,X,,MAYBE,1,TP,
ray_ban_face/images (80).jpeg,images (80).jpeg,rayban,0.776,0.875,,X,,MAYBE,1,TP,
ray_ban_face/images (89).jpeg,images (89).jpeg,rayban,0.136,0.734,,,X,NO,0,FN,
ray_ban_face/images (14).jpeg,images (14).jpeg,rayban,0.702,0.119,,,X,NO,0,FN,
ray_ban_face/images (88).jpeg,images (88).jpeg,rayban,0.665,0.025,,,X,NO,0,FN,
ray_ban_face/img_1774326658617_320.jpg,img_1774326658617_320.jpg,rayban,0.646,0.658,,,X,NO,0,FN,
ray_ban_face/images (84).jpeg,images (84).jpeg,rayban,0.653,0.031,,,X,NO,0,FN,
ray_ban_face/img_1774326652939_289.jpg,img_1774326652939_289.jpg,rayban,0.001,0.530,,,X,NO,0,FN,
ray_ban_face/images (87).jpeg,images (87).jpeg,rayban,0.227,0.445,,,X,NO,0,FN,
ray_ban_face/images (24).jpeg,images (24).jpeg,rayban,0.416,0.419,,,X,NO,0,FN,
ray_ban_face/images (71).jpeg,images (71).jpeg,rayban,0.382,0.171,,,X,NO,0,FN,
ray_ban_face/images (81).jpeg,images (81).jpeg,rayban,0.336,0.280,,,X,NO,0,FN,
ray_ban_face/images (63).jpeg,images (63).jpeg,rayban,0.300,0.295,,,X,NO,0,FN,
ray_ban_face/img_1774335835852_44.jpg,img_1774335835852_44.jpg,rayban,0.256,0.136,,,X,NO,0,FN,
ray_ban_face/img_1774335839067_69.jpg,img_1774335839067_69.jpg,rayban,0.100,0.254,,,X,NO,0,FN,
ray_ban_face/images (54).jpeg,images (54).jpeg,rayban,0.226,0.008,,,X,NO,0,FN,
ray_ban_face/images (69).jpeg,images (69).jpeg,rayban,0.040,0.193,,,X,NO,0,FN,
ray_ban_face/images (77).jpeg,images (77).jpeg,rayban,0.086,0.004,,,X,NO,0,FN,
ray_ban_face/images (72).jpeg,images (72).jpeg,rayban,0.009,0.065,,,X,NO,0,FN,
,,,,,,,,,,,
OVERALL ACCURACY = 72.4%  (92/127 correct),,rayban_detected(YES+MAYBE)=41/58,,,,,,,,TP=41 FP=18 TN=51 FN=17,normal_false_flag_rate=18/69 = 26.1%
NOTE,scores are CROSS-VALIDATED (out-of-fold) = real-world estimate; the shipped model scores these exact files even better (trained on them),,,,,,,,,,
"MeGlass bulk (434 generic normal faces, not shown above)",,,,,,,,,,0 FP,all NO — 0 false flags
